[DEBUG] [2023-04-05 15:00:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 903db4b150cd418ca8cc346adfb51ed8, msgType : 19
[DEBUG] [2023-04-05 15:00:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 04c1ab992e0048a1b4e45f6620605f75, msgType : 19
[DEBUG] [2023-04-05 15:00:02] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 3db22eaaf1524840b14ada37b422e042, msgType : 19
[DEBUG] [2023-04-05 15:00:02] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : d4159994f2c24a44bd2f015c63221d9e, msgType : 19
[DEBUG] [2023-04-05 15:00:04] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 364a5c0b926e47729eb4294577555069, msgType : 19
[DEBUG] [2023-04-05 15:00:04] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : abe1cefb33c54ffeb5c2dbca6a8cca83, msgType : 19
[DEBUG] [2023-04-05 15:00:06] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 89b8b2a6486242b787c877d83cb8652c, msgType : 19
[DEBUG] [2023-04-05 15:00:06] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 4a8b4df2064e47a083438c4616ca26c6, msgType : 19
[INFO] [2023-04-05 15:00:06] EventSubscribeImp.resendWaitingFilters(173) | Resend waiting filters, size: 0
[DEBUG] [2023-04-05 15:00:08] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9e3fdb1e7b7140039aaa7e6a4e428a57, msgType : 19
[DEBUG] [2023-04-05 15:00:08] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : a465d55d61f84eef93d28385e0954eab, msgType : 19
[DEBUG] [2023-04-05 15:00:10] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 801997d5644347c680f11d8405635d91, msgType : 19
[DEBUG] [2023-04-05 15:00:10] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : d9800a9c6b6f4157a3153638d45a85fc, msgType : 19
[DEBUG] [2023-04-05 15:00:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : bcfc6c3f002f4dc0b6d44d5b1bfdaad6, msgType : 19
